"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年11月12日","12.82","12.80","13.06","12.63","-","2.31%"
"2013年11月11日","12.53","12.85","12.93","12.40","-","-2.87%"
"2013年11月8日","12.90","13.76","13.80","12.84","-","-7.26%"
"2013年11月7日","13.91","12.99","14.14","12.93","-","9.79%"
"2013年11月6日","12.67","13.01","13.33","12.67","-","-4.52%"
"2013年11月5日","13.27","13.22","13.64","12.86","-","2.63%"
"2013年11月4日","12.93","13.35","13.67","12.91","-","-2.64%"
"2013年11月1日","13.28","13.46","13.92","13.22","-","-3.42%"
"2013年10月31日","13.75","13.83","14.02","13.28","-","0.73%"
"2013年10月30日","13.65","13.72","14.36","13.64","-","1.79%"
"2013年10月29日","13.41","13.25","13.63","13.06","-","0.75%"
"2013年10月28日","13.31","13.62","13.72","13.22","-","1.68%"
"2013年10月25日","13.09","13.16","13.44","13.08","-","-0.83%"
"2013年10月24日","13.20","13.50","13.62","13.15","-","-1.64%"
"2013年10月23日","13.42","13.71","14.21","13.42","-","0.68%"
"2013年10月22日","13.33","12.99","13.92","12.93","-","1.29%"
"2013年10月21日","13.16","13.34","13.63","13.07","-","0.92%"
"2013年10月18日","13.04","12.86","13.53","12.34","-","-3.26%"
"2013年10月17日","13.48","14.52","14.59","12.89","-","-8.36%"
"2013年10月16日","14.71","17.14","17.15","14.67","-","-21.17%"
"2013年10月15日","18.66","16.41","18.67","16.16","-","16.12%"
"2013年10月14日","16.07","17.08","17.74","15.80","-","2.23%"
"2013年10月11日","15.72","16.31","16.38","15.46","-","-4.61%"
"2013年10月10日","16.48","17.66","17.92","16.29","-","-15.92%"
"2013年10月9日","19.60","20.19","21.34","19.04","-","-3.64%"
"2013年10月8日","20.34","19.01","21.01","18.98","-","4.79%"
"2013年10月7日","19.41","18.76","19.41","18.08","-","15.95%"
"2013年10月4日","16.74","17.72","17.87","16.66","-","-5.26%"
"2013年10月3日","17.67","16.63","18.71","16.63","-","6.45%"
"2013年10月2日","16.60","16.40","16.81","16.13","-","6.82%"
"2013年10月1日","15.54","16.31","16.46","15.47","-","-6.39%"
"2013年9月30日","16.60","17.49","17.49","16.16","-","7.37%"
"2013年9月27日","15.46","14.62","15.79","14.62","-","9.96%"
"2013年9月26日","14.06","13.80","14.40","13.58","-","0.36%"
"2013年9月25日","14.01","14.24","14.62","13.89","-","-0.50%"
"2013年9月24日","14.08","14.17","14.37","13.75","-","-1.61%"
"2013年9月23日","14.31","14.04","14.71","14.02","-","9.07%"
"2013年9月20日","13.12","13.30","13.47","12.52","-","-0.30%"
"2013年9月19日","13.16","13.02","13.39","13.02","-","-3.16%"
"2013年9月18日","13.59","14.68","14.68","13.23","-","-6.47%"
"2013年9月17日","14.53","14.44","14.61","14.28","-","1.04%"
"2013年9月16日","14.38","14.10","14.49","13.87","-","1.55%"
"2013年9月13日","14.16","14.27","14.55","14.11","-","-0.91%"
"2013年9月12日","14.29","13.93","14.39","13.73","-","3.40%"
"2013年9月11日","13.82","14.74","14.74","13.82","-","-4.89%"
"2013年9月10日","14.53","14.89","15.09","14.50","-","-7.04%"
"2013年9月9日","15.63","15.86","16.02","15.22","-","-1.39%"
"2013年9月6日","15.85","15.35","16.81","15.17","-","0.51%"
"2013年9月5日","15.77","16.12","16.12","15.63","-","-0.69%"
"2013年9月4日","15.88","16.88","17.01","15.77","-","-4.39%"
"2013年9月3日","16.61","16.47","17.37","16.11","-","-2.35%"
"2013年8月30日","17.01","16.75","17.81","16.70","-","1.19%"
"2013年8月29日","16.81","16.79","16.98","15.99","-","1.94%"
"2013年8月28日","16.49","16.96","17.11","16.10","-","-1.67%"
"2013年8月27日","16.77","16.56","17.13","15.82","-","11.87%"
"2013年8月26日","14.99","14.37","15.01","13.90","-","7.22%"
"2013年8月23日","13.98","14.29","14.82","13.98","-","-5.28%"
"2013年8月22日","14.76","15.26","15.26","14.66","-","-7.40%"
"2013年8月21日","15.94","16.00","16.56","14.67","-","6.91%"
"2013年8月20日","14.91","15.22","15.25","14.29","-","-1.26%"
"2013年8月19日","15.10","14.94","15.20","14.35","-","5.08%"
"2013年8月16日","14.37","14.56","14.88","13.62","-","-2.44%"
"2013年8月15日","14.73","14.14","14.85","13.91","-","12.96%"
"2013年8月14日","13.04","12.48","13.09","12.35","-","5.93%"
"2013年8月13日","12.31","12.86","13.37","12.29","-","-3.90%"
"2013年8月12日","12.81","13.52","13.57","12.80","-","-4.47%"
"2013年8月9日","13.41","12.88","13.66","12.71","-","5.34%"
"2013年8月8日","12.73","12.50","13.13","12.37","-","-1.93%"
"2013年8月7日","12.98","13.17","13.91","12.96","-","2.04%"
"2013年8月6日","12.72","12.19","12.93","12.06","-","7.43%"
"2013年8月5日","11.84","12.29","12.42","11.83","-","-1.17%"
"2013年8月2日","11.98","12.66","12.74","11.98","-","-7.42%"
"2013年8月1日","12.94","12.89","13.25","12.82","-","-3.79%"
"2013年7月31日","13.45","13.55","13.83","12.94","-","0.45%"
