日期	收盘	开盘	高	低	交易量	涨跌幅
2019年7月1日	14.06	13.85	14.64	13.8	-	-6.76%
2019年6月28日	15.08	15.7	16.13	15.08	-	-4.68%
2019年6月27日	15.82	15.66	16.4	15.66	-	-2.41%
2019年6月26日	16.21	16.1	16.6	15.47	-	-0.43%
2019年6月25日	16.28	15.43	16.68	15.1	-	6.68%
2019年6月24日	15.26	15.46	15.56	15.23	-	-0.91%
2019年6月21日	15.4	14.74	15.48	14.42	-	4.41%
2019年6月20日	14.75	14.04	16.03	13.19	-	2.93%
2019年6月19日	14.33	15.05	15.71	14.15	-	-5.41%
2019年6月18日	15.15	14.89	15.54	14.62	-	-1.30%
2019年6月17日	15.35	15.65	15.76	15.24	-	0.46%
2019年6月14日	15.28	16	16.4	15.21	-	-3.41%
2019年6月13日	15.82	16.16	16.21	15.61	-	-0.57%
2019年6月12日	15.91	16.26	16.43	15.78	-	-0.50%
2019年6月11日	15.99	15.84	16.7	15.5	-	0.31%
2019年6月10日	15.94	16.3	16.47	15.84	-	-2.21%
2019年6月7日	16.3	15.65	16.44	15.33	-	2.32%
2019年6月6日	15.93	16.25	16.54	15.36	-	-0.99%
2019年6月5日	16.09	17.06	17.49	16.04	-	-5.19%
2019年6月4日	16.97	18.74	18.74	16.97	-	-10.02%
2019年6月3日	18.86	19.41	19.75	18.16	-	0.80%
2019年5月31日	18.71	19.05	19.72	18.01	-	8.15%
2019年5月30日	17.3	17.47	18.11	16.72	-	-3.35%
2019年5月29日	17.9	18.55	19.04	17.62	-	2.29%
2019年5月28日	17.5	16.55	17.7	15.9	-	10.41%
2019年5月24日	15.85	16.34	16.52	15.52	-	-6.32%
2019年5月23日	16.92	15.93	18.05	15.28	-	14.71%
2019年5月22日	14.75	15.06	15.44	14.42	-	-1.34%
2019年5月21日	14.95	15.86	16.22	14.79	-	-8.34%
2019年5月20日	16.31	15.88	17.63	15.46	-	2.19%
2019年5月17日	15.96	15.89	16.81	14.86	-	4.38%
2019年5月16日	15.29	16.69	17.13	15.16	-	-7.00%
2019年5月15日	16.44	17.57	19.15	16.41	-	-8.97%
2019年5月14日	18.06	19.4	19.65	17.45	-	-12.12%
2019年5月13日	20.55	18.62	21.32	18.35	-	28.12%
2019年5月10日	16.04	18.79	20.19	15.57	-	-16.02%
2019年5月9日	19.1	21.4	23.38	18.87	-	-1.55%
2019年5月8日	19.4	18.95	21.74	18.29	-	0.41%
2019年5月7日	19.32	15.9	21.84	15.8	-	25.13%
2019年5月6日	15.44	12.89	18.8	12.89	-	19.97%
2019年5月3日	12.87	14.11	14.15	12.8	-	-10.75%
2019年5月2日	14.42	14.35	15.92	13.8	-	-2.57%
2019年5月1日	14.8	12.86	14.83	12.74	-	12.80%
2019年4月30日	13.12	13.11	14.05	12.88	-	0.08%
2019年4月29日	13.11	13.04	13.27	12.65	-	2.99%
2019年4月26日	12.73	13.44	13.62	12.49	-	-3.92%
2019年4月25日	13.25	13.29	14.3	12.81	-	0.84%
2019年4月24日	13.14	12.53	13.23	12.26	-	7.00%
2019年4月23日	12.28	12.66	12.69	12.08	-	-1.13%
2019年4月22日	12.42	13.21	13.36	12.38	-	2.73%
2019年4月19日	12.09	12.09	12.09	12.09	-	0.00%
2019年4月18日	12.09	12.8	13.12	12.02	-	-4.05%
2019年4月17日	12.6	12.12	13.02	11.03	-	3.45%
